Judul,Harga,Lokasi,Kota,Provinsi,Tipe Properti,Kamar Tidur,Kamar Mandi,Luas Total,Nama Agen,Link
"DIJUAL UNIT PREMIUM 2 BEDROOM 51 SQM 
CITY VIEW BSD | AKSES AEON |",780000000.0,"BSD Grand CBD, BSD City, Sampora, Cisauk, Kabupaten Tangerang, Banten",Kabupaten Tangerang,Banten,Apartemen,2.0,1.0,51.0,Rinif Sky BSD,https://www.lamudi.co.id/properti/41032-73-c949bae8462c-55b9-19ca33a-a48b-7ee8
Dijual 1 Bedroom Fully Furnished Lexington Residence - Pondok Indah,1400000000.0,"RW 03, Bintaro, Pesanggrahan, Jakarta Selatan, Daerah Khusus Ibukota Jakarta",Jakarta Selatan,Daerah Khusus Ibukota Jakarta,Apartemen,1.0,1.0,57.0,Ramsey,https://www.lamudi.co.id/properti/41032-73-934c135f268-96c1-19e82e4-a40d-7184
DI JUAL HUNIAN 2 BEDROOM SKYHOUSE BSD,930000000.0,"BSD Grand CBD, BSD City, Sampora, Cisauk, Kabupaten Tangerang, Banten",Kabupaten Tangerang,Banten,Apartemen,2.0,1.0,51.0,Rinif Sky BSD,https://www.lamudi.co.id/properti/41032-73-cf8c8f922d7c-7a8c-19d6193-8c92-760c
DI JUAL UNIT 2 BEDROOM SKYHOUSE LUAS | Akses Aeon Mall,860000000.0,"Griya Mulia Cisauk C, Cisauk, Cisauk, Kabupaten Tangerang, Banten",Kabupaten Tangerang,Banten,Apartemen,2.0,1.0,51.0,Rinif Sky BSD,https://www.lamudi.co.id/properti/41032-73-bdf666a7f5a0-8e12-19c9490-b075-7b26
3BR Sky House BSD Termurah 1.4M ! Samping AEON Mall,1400000000.0,"BSD Grand CBD, BSD City, Sampora, Cisauk, Kabupaten Tangerang, Banten",Kabupaten Tangerang,Banten,Apartemen,3.0,2.0,85.0,Rinif Sky BSD,https://www.lamudi.co.id/properti/41032-73-3cc3501f0361-594a-19cb2ac-8649-7c7d
DI JUAL STUDIO APARTEMEN SKYHOUSE | AKSES AEON MALL,470000000.0,"BSD City, Sampora, Cisauk, Kabupaten Tangerang, Banten",Kabupaten Tangerang,Banten,Apartemen,1.0,1.0,23.0,Rinif Sky BSD,https://www.lamudi.co.id/properti/41032-73-bee950bcb24f-d498-19ca8e8-a3af-7b55
"DIJUAL UNIT PREMIUM 3+1 BEDROOM 85 SQM 
CITY VIEW BSD | AKSES AEON |",1450000000.0,"BSD Grand CBD, BSD City, Sampora, Cisauk, Kabupaten Tangerang, Banten",Kabupaten Tangerang,Banten,Apartemen,3.0,3.0,85.0,Rinif Sky BSD,https://www.lamudi.co.id/properti/41032-73-9089a0260868-2bbc-19c9e12-8846-7134
"HOOOK ,Samping lift Dijual Apartemen STA Sentul Tower 1BR View Bagus Harga Terjangkau Murah Dekat Tol & AEON, Gedung putih. full furnished.300 juta",300000000.0,"Sentul City, Cipambuan, Babakan Madang, Kab Bogor, Jawa Barat",Kab Bogor,Jawa Barat,Apartemen,1.0,1.0,23.0,PT Asiatama Prima Group Indonesia,https://www.lamudi.co.id/properti/41032-73-198f415105ec-fe54-19e3081-8a53-7141
Apartemen 2 kamar The Mansion Bougenville,950000000.0,"RW 10, Ancol, Pademangan, Jakarta Utara, Daerah Khusus Ibukota Jakarta",Jakarta Utara,Daerah Khusus Ibukota Jakarta,Apartemen,2.0,1.0,35.0,GP Permata Buana,https://www.lamudi.co.id/jual/jakarta/jakarta-utara/apartemen-2-kamar-the-mansion-bougenville-175807857478/
For sale apartment essence east tower dharmawangsa,6500000000.0,"RW 08, Cipete Utara, Kebayoran Baru, Jakarta Selatan, Daerah Khusus Ibukota Jakarta",Jakarta Selatan,Daerah Khusus Ibukota Jakarta,Apartemen,3.0,3.0,180.0,Ali Murtadha Alaydrus,https://www.lamudi.co.id/properti/41032-73-a61e03fbbf10-bc0f-19c3370-b56e-7122
Apartemen Studio Full furnished pemandangan Gunung,900000000.0,"RW 02, Duren Tiga, Pancoran, Jakarta Selatan, Daerah Khusus Ibukota Jakarta",Jakarta Selatan,Daerah Khusus Ibukota Jakarta,Apartemen,1.0,1.0,38.0,Banjar Sam,https://www.lamudi.co.id/jual/jakarta/jakarta-selatan/apartemen-studio-full-furnished-pemandangan-gunung-17578608209/
DI JUAL APARTEMEN MURAAHH 2 BEDROOM SKY HOUSE BSD – READY UNIT HUNI l AKSES AEON MALL,850000000.0,"BSD City, Pagedangan, Pagedangan, Kabupaten Tangerang, Banten",Kabupaten Tangerang,Banten,Apartemen,2.0,1.0,51.0,Frans Property,https://www.lamudi.co.id/properti/41032-73-7794c51ea29c-dc0c-19e4f5b-9b4a-731e
DI JUAL APARTEMEN 2 BEDROOM SKY HOUSE BSD – READY UNIT HUNI l AKSES AEON MALL,860000000.0,"BSD City, Pagedangan, Pagedangan, Kabupaten Tangerang, Banten",Kabupaten Tangerang,Banten,Apartemen,2.0,1.0,51.0,Frans Property,https://www.lamudi.co.id/properti/41032-73-fe4b97a4aad1-7d26-19e4f24-9791-7235
APARTEMEN 2BR SIAP HUNI FULL FURNISHED DEKAT MALL TERAS KOTA BSD POSISI HOOK DEPAN UNIT SKY GARDEN,1200000000.0,"BSD Sunburst CBD, Babakan, BSD City, Serpong, Tangerang Selatan, Banten",Tangerang Selatan,Banten,Apartemen,2.0,1.0,60.0,Deni Lawolo,https://www.lamudi.co.id/properti/41032-73-224677d381a3-4f40-19e5d95-bf18-7302
Jual Apartemen Water Palace Via Lelang,757000000.0,"RW 03, Babatan, Wiyung, Surabaya, Jawa Timur",Surabaya,Jawa Timur,Apartemen,2.0,2.0,74.0,Mahrus - Be The Best Property,https://www.lamudi.co.id/properti/41032-73-e783ac4053e0-2b44-43edbeb1-8e3a-48ce
Apartemen siap huni di gading serpong,490000000.0,"Rumpak Sinang, Pakulonan Barat, Kelapa Dua, Kabupaten Tangerang, Banten",Kabupaten Tangerang,Banten,Apartemen,1.0,1.0,35.0,Atlantis Realty,https://www.lamudi.co.id/properti/41032-73-35501c1a977f-9378-19b02dd-b62a-7d42
"Apartemen 3BR Sangat Luas, Nyaman dan Fully Furnished di Sky House BSD",2300000000.0,"BSD Grand CBD, BSD City, Sampora, Cisauk, Kabupaten Tangerang, Banten",Kabupaten Tangerang,Banten,Apartemen,3.0,3.0,120.0,Rilo Baskoro,https://www.lamudi.co.id/jual/banten/tangerang-selatan/apartemen-3br-sangat-luas-nyaman-dan-fully-furnish-174824045527/
"Apartemen Akasa 1 bedroom, furnished, brand new, by Sinarmas",580000000.0,"BSD City, Sampora, Cisauk, Kabupaten Tangerang, Banten",Kabupaten Tangerang,Banten,Apartemen,1.0,1.0,30.0,Chiko,https://www.lamudi.co.id/jual/banten/tangerang-selatan/apartemen-akasa-1-bedroom-furnished-brand-new-by-s-174829691727/
