Judul,Harga,Lokasi,Link
Apartemen Dijual di Grogol Petamburan,Rp 3M,"RW 01, Tanjung Duren Utara, Grogol Petamburan, Jakarta Barat, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/properti/41032-73-eecef997e03-7bf9-19d4226-9a4a-7366
Apartemen Dijual di Gading Serpong,Rp 325Jt,"Gading Serpong, Pakulonan Barat, Kelapa Dua, Kabupaten Tangerang, Banten",https://www.lamudi.co.id/properti/41032-73-6d58f63478dd-1242-19e1ad7-8974-742c
Apartemen Dijual di Serpong,Rp 850Jt,"Cadasmampar, Serpong, Serpong, Tangerang Selatan, Banten",https://www.lamudi.co.id/jual/banten/tangerang-selatan/apartemen-brooklyn-alam-sutera-175288736919/
Apartemen Dijual di Serang,Rp 900Jt,"Malabar, Kab Serang, Banten",https://www.lamudi.co.id/jual/banten/serang/di-jual-cepat-bu-apartemen-skandinavia-tangerang-k-171680338957/
Apartemen Dijual di Alam Sutera,Rp 900Jt,"Alam Sutera, Pinang, Tangerang, Banten",https://www.lamudi.co.id/properti/41032-73-a5a9dee09327-5f28-19e876f-88fa-7d04
Apartemen Dijual di Karet Kuningan,"Rp 2,40M","RW 05, Karet Kuningan, Setiabudi, Jakarta Selatan, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/properti/41032-73-67e81c642244-a80e-19d4dd1-b1ff-71be
Kondominium Dijual di Kebon Jeruk,"Rp 5,50M","RW 11, Kedoya Utara, Kebon Jeruk, Jakarta Barat, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/jual/jakarta/jakarta-barat/the-pinnacle-of-luxury-living-at-wang-residence-175082687772/
Apartemen Dijual di Karet Tengsin,Rp 16M,"RW 07, Karet Tengsin, Tanah Abang, Jakarta Pusat, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/properti/41032-73-d67e9ee7b31d-2b04-19bf8f4-9fe1-785d
Apartemen Dijual di Bumi Serpong Damai,"Rp 2,50M","BSD Grand CBD, BSD City, Pagedangan, Pagedangan, Kabupaten Tangerang, Banten",https://www.lamudi.co.id/properti/41032-73-dd5526d76554-21cd-19cbc51-a441-7753
Apartemen Dijual di Bumi Serpong Damai,"Rp 3,60M","BSD Grand CBD, BSD City, Pagedangan, Pagedangan, Kabupaten Tangerang, Banten",https://www.lamudi.co.id/properti/41032-73-b83b782a0776-ac3e-19cb761-866e-7121
Apartemen Dijual di Kuningan,Rp 11M,"RW 03, Setiabudi, Setiabudi, Jakarta Selatan, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/properti/41032-73-5360dde96351-69cc-19eac48-8ee1-709d
Apartemen Dijual di Cempaka Baru,"Rp 1,07M","RW 04, Cempaka Baru, Kemayoran, Jakarta Pusat, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/jual/jakarta/jakarta-pusat/apartemen-tower-capilano-the-mansion-kemayoran-175620302520/
Apartemen Dijual di Cilandak,"Rp 1,85M","RW 06, Lebak Bulus, Cilandak, Jakarta Selatan, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/jual/jakarta/jakarta-selatan/dijual-apartemen-siap-huni-di-bona-vista-lebak-bul-174142910368/
Apartemen Dijual di Karet Tengsin,"Rp 3,60M","RW 11, Karet Tengsin, Tanah Abang, Jakarta Pusat, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/properti/41032-73-73a319ef3635-ebc4-19e892d-9199-7b64
Apartemen Dijual di Karet Tengsin,Rp 23M,"RW 07, Karet Tengsin, Tanah Abang, Jakarta Pusat, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/properti/41032-73-9b6309de8d6-e264-19bf914-a1fb-79a8
Apartemen Dijual di Babatan,Rp 690Jt,"Pakuwon Indah, Kawasan Superblock Pakuwon, Babatan, Wiyung, Surabaya, Jawa Timur",https://www.lamudi.co.id/properti/41032-73-9c1f569a998f-b44c-19ea796-8351-72f4
Apartemen Dijual di Karet Tengsin,Rp 16M,"RW 07, Karet Tengsin, Tanah Abang, Jakarta Pusat, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/properti/41032-73-ba99b921a33-7e81-19bf8ff-bc6f-7061
